Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,AvgH,AvgD,AvgA,PSH,PSD,PSA
E0,16/08/2024,20:00,Man United,Fulham,1,0,H,14,10,5,2,1.6,4.2,5.25,1.62,4.36,5.15,1.63,4.38,5.3
E0,17/08/2024,12:30,Ipswich,Liverpool,0,2,A,7,18,2,5,8.5,5.5,1.33,8.28,5.76,1.34,8.18,5.84,1.34
E0,17/08/2024,15:00,Arsenal,Wolves,2,0,H,18,9,6,3,1.18,7.5,13,1.18,7.86,15.87,1.16,8.56,16.22
E0,17/08/2024,15:00,Everton,Brighton,0,3,A,9,10,1,5,2.63,3.3,2.63,2.67,3.41,2.68,2.73,3.36,2.71
E0,17/08/2024,15:00,Newcastle,Southampton,1,0,H,3,19,1,4,1.36,5.25,8,1.35,5.62,8.1,1.35,5.7,8.25
E0,17/08/2024,15:00,Nott'm Forest,Bournemouth,1,1,D,14,13,8,4,2.45,3.5,2.8,2.45,3.49,2.89,2.47,3.42,2.97
E0,17/08/2024,17:30,West Ham,Aston Villa,1,2,A,14,15,3,3,2.45,3.6,2.75,2.44,3.69,2.79,2.49,3.65,2.8
E0,18/08/2024,14:00,Brentford,Crystal Palace,2,1,H,9,14,5,6,2.4,3.4,2.9,2.46,3.44,2.9,2.5,3.4,2.95
E0,18/08/2024,16:30,Chelsea,Man City,0,2,A,10,11,3,5,4.1,3.9,1.8,4.05,4,1.83,4.19,3.93,1.84
E0,19/08/2024,20:00,Leicester,Tottenham,1,1,D,7,15,3,7,5,4.33,1.62,5.01,4.37,1.63,5.09,4.39,1.63
E0,24/08/2024,12:30,Brighton,Man United,2,1,H,14,11,5,4,2.5,3.7,2.63,2.5,3.72,2.69,2.51,3.66,2.76
E0,24/08/2024,15:00,Crystal Palace,West Ham,0,2,A,14,18,2,3,2.15,3.6,3.2,2.17,3.63,3.25,2.17,3.68,3.33
E0,24/08/2024,15:00,Fulham,Leicester,2,1,H,18,10,6,4,1.8,3.75,4.2,1.83,3.73,4.38,1.84,3.67,4.56
E0,24/08/2024,15:00,Man City,Ipswich,4,1,H,14,1,5,1,1.08,12,21,1.09,12.17,26.97,1.08,13.21,25.71
E0,24/08/2024,15:00,Southampton,Nott'm Forest,0,1,A,5,23,1,8,2.55,3.3,2.8,2.57,3.32,2.84,2.59,3.28,2.92
E0,24/08/2024,15:00,Tottenham,Everton,4,0,H,13,10,7,1,1.44,4.75,6.5,1.44,4.95,6.75,1.45,4.87,7.03
E0,24/08/2024,17:30,Aston Villa,Arsenal,0,2,A,11,9,3,4,4.33,3.8,1.75,4.41,3.92,1.78,4.55,3.98,1.77
E0,25/08/2024,14:00,Bournemouth,Newcastle,1,1,D,16,14,4,5,2.9,3.8,2.2,2.99,3.8,2.25,3.05,3.73,2.28
E0,25/08/2024,14:00,Wolves,Chelsea,2,6,A,12,14,4,8,4.33,4,1.75,4.37,4,1.77,4.46,4.03,1.78
E0,25/08/2024,16:30,Liverpool,Brentford,2,0,H,19,8,8,2,1.27,5.75,11,1.25,6.78,10.37,1.25,7.05,10.11
E0,31/08/2024,12:30,Arsenal,Brighton,1,1,D,11,22,7,4,1.33,5.5,8.5,1.35,5.66,8.11,1.34,5.87,8.1
E0,31/08/2024,15:00,Brentford,Southampton,3,1,H,20,18,7,6,1.75,3.9,4.33,1.77,3.97,4.46,1.79,3.9,4.51
E0,31/08/2024,15:00,Everton,Bournemouth,2,3,A,18,17,8,7,2.75,3.4,2.55,2.78,3.4,2.59,2.82,3.38,2.62
E0,31/08/2024,15:00,Ipswich,Fulham,1,1,D,11,9,4,4,3,3.5,2.3,3.1,3.5,2.31,3.14,3.53,2.32
E0,31/08/2024,15:00,Leicester,Aston Villa,1,2,A,9,10,3,5,4.5,4,1.7,4.62,4.02,1.74,4.8,4.09,1.71
E0,31/08/2024,15:00,Nott'm Forest,Wolves,1,1,D,16,11,5,3,2,3.7,3.7,2.03,3.66,3.65,2.02,3.7,3.71
E0,31/08/2024,17:30,West Ham,Man City,1,3,A,10,23,2,8,7,5.5,1.38,7.57,5.49,1.38,7.69,5.64,1.37
E0,01/09/2024,13:30,Chelsea,Crystal Palace,1,1,D,13,9,7,3,1.6,4.33,5,1.63,4.4,5.01,1.63,4.4,5.06
E0,01/09/2024,13:30,Newcastle,Tottenham,2,1,H,9,20,3,6,2.5,4,2.5,2.51,3.97,2.56,2.5,3.96,2.62
E0,01/09/2024,16:00,Man United,Liverpool,0,3,A,8,11,3,3,3.7,4.2,1.85,3.82,4.2,1.85,3.93,4.31,1.82
E0,14/09/2024,12:30,Southampton,Man United,0,3,A,6,20,4,10,4.5,4,1.7,4.56,4.04,1.74,4.5,4.13,1.74
E0,14/09/2024,15:00,Brighton,Ipswich,0,0,D,21,6,6,1,1.38,5,7.5,1.38,5.16,7.89,1.38,5.13,8.05
E0,14/09/2024,15:00,Crystal Palace,Leicester,2,2,D,20,9,4,4,1.62,4,5.5,1.63,4.14,5.38,1.62,4.13,5.48
E0,14/09/2024,15:00,Fulham,West Ham,1,1,D,21,11,5,3,2.38,3.25,3,2.42,3.48,2.92,2.4,3.53,2.97
E0,14/09/2024,15:00,Liverpool,Nott'm Forest,0,1,A,14,5,5,3,1.22,6.5,12,1.22,7.03,12.4,1.21,7.23,12.71
E0,14/09/2024,15:00,Man City,Brentford,2,1,H,18,8,7,5,1.18,8,12,1.17,8.2,14.79,1.17,8.43,14.62
E0,14/09/2024,17:30,Aston Villa,Everton,3,2,H,17,6,8,2,1.5,4.2,6.5,1.51,4.48,6.34,1.51,4.45,6.48
E0,14/09/2024,20:00,Bournemouth,Chelsea,0,1,A,19,10,7,3,3.4,3.8,2,3.33,3.96,2.05,3.32,3.97,2.06
E0,15/09/2024,14:00,Tottenham,Arsenal,0,1,A,15,7,5,4,3,3.5,2.3,2.99,3.59,2.33,3.03,3.62,2.32
E0,15/09/2024,16:30,Wolves,Newcastle,1,2,A,12,14,5,6,3.4,3.5,2.1,3.36,3.69,2.11,3.41,3.71,2.1
E0,21/09/2024,12:30,West Ham,Chelsea,0,3,A,15,12,7,5,3.6,3.9,1.95,3.49,3.89,2.01,3.59,3.93,1.99
E0,21/09/2024,15:00,Aston Villa,Wolves,3,1,H,9,10,4,4,1.57,4.2,5.25,1.59,4.39,5.35,1.59,4.47,5.44
E0,21/09/2024,15:00,Fulham,Newcastle,3,1,H,22,15,11,4,3,3.4,2.4,2.86,3.51,2.45,2.89,3.54,2.47
E0,21/09/2024,15:00,Leicester,Everton,1,1,D,12,16,2,5,2.45,3.4,2.88,2.52,3.44,2.82,2.54,3.43,2.88
E0,21/09/2024,15:00,Liverpool,Bournemouth,3,0,H,19,19,13,6,1.3,6.25,9,1.29,6.31,9.35,1.28,6.36,9.45
E0,21/09/2024,15:00,Southampton,Ipswich,1,1,D,11,13,3,6,2.25,3.5,3.2,2.25,3.52,3.17,2.27,3.5,3.24
E0,21/09/2024,15:00,Tottenham,Brentford,3,1,H,23,6,10,6,1.55,4.5,5.5,1.55,4.72,5.41,1.55,4.77,5.48
E0,21/09/2024,17:30,Crystal Palace,Man United,0,0,D,9,15,4,6,2.88,3.75,2.3,2.85,3.72,2.36,2.92,3.76,2.35
E0,22/09/2024,14:00,Brighton,Nott'm Forest,2,2,D,14,4,3,3,1.75,3.75,4.75,1.86,3.83,4.21,1.79,3.91,4.51
E0,22/09/2024,16:30,Man City,Arsenal,2,2,D,33,5,11,3,1.8,3.6,4.5,1.83,3.62,4.52,1.85,3.66,4.54
E0,28/09/2024,12:30,Newcastle,Man City,1,1,D,11,16,4,6,5.25,4.33,1.6,5.09,4.47,1.61,5.18,4.54,1.6
E0,28/09/2024,15:00,Arsenal,Leicester,4,2,H,36,5,16,3,1.17,8,15,1.18,7.82,15.12,1.18,8.27,14.09
E0,28/09/2024,15:00,Brentford,West Ham,1,1,D,8,19,3,3,2.2,3.5,3.2,2.23,3.62,3.16,2.23,3.63,3.22
E0,28/09/2024,15:00,Chelsea,Brighton,4,2,H,15,15,7,5,1.73,4.2,4.2,1.74,4.23,4.35,1.75,4.3,4.32
E0,28/09/2024,15:00,Everton,Crystal Palace,2,1,H,8,17,2,5,2.7,3.3,2.63,2.73,3.39,2.63,2.76,3.35,2.69
E0,28/09/2024,15:00,Nott'm Forest,Fulham,0,1,A,11,14,1,2,2.38,3.3,3,2.4,3.34,3.07,2.49,3.32,3.03
E0,28/09/2024,17:30,Wolves,Liverpool,1,2,A,8,10,3,6,8,5.75,1.33,8.05,5.55,1.35,8.09,5.63,1.36
E0,29/09/2024,14:00,Ipswich,Aston Villa,2,2,D,15,7,5,3,4,3.75,1.85,4.15,3.77,1.87,4.34,3.77,1.85
E0,29/09/2024,16:30,Man United,Tottenham,0,3,A,11,24,2,10,2.35,3.75,2.75,2.36,3.89,2.77,2.42,3.9,2.75
E0,30/09/2024,20:00,Bournemouth,Southampton,3,1,H,14,9,6,3,1.65,4.1,5,1.65,4.29,4.91,1.65,4.37,5.01
