scope,model,sample_size,accuracy,log_loss,brier_score,ranked_probability_score,calibration_error
all,v1,810,0.5024691358024691,1.02316551679427,0.20435151469852678,0.20883928234277496,0.05706395458731931
all,v2,810,0.49753086419753084,1.0081629701820434,0.20135686174835676,0.20557157829069472,0.02995880443050769
all,ml,810,0.48148148148148145,1.039587161469566,0.20797997045247124,0.21232634743274445,0.03313085852507926
all,v3_ensemble,810,0.5037037037037037,1.0085662890092257,0.20139777249754132,0.20553721899951183,0.025958344897328785
all,bookmaker,810,0.5098765432098765,0.998212846019192,0.199169228808194,0.2017927954203901,0.0332802436848318
2425,v1,380,0.5078947368421053,1.004443253312417,0.19974959364675596,0.20665023564720514,0.07004403872517037
2425,v2,380,0.5157894736842106,0.9886928558720792,0.19673124209142404,0.20312507801039212,0.046340319183377
2425,ml,380,0.4921052631578947,1.0228533435001166,0.203987088138729,0.21039206219592912,0.03528741684082687
2425,v3_ensemble,380,0.5184210526315789,0.9886866583631198,0.19668895295845065,0.20299118994669524,0.044923138745974305
2425,bookmaker,380,0.5394736842105263,0.9707576734366724,0.19288793421961034,0.19723507363339546,0.04040828444055509
2526,v1,380,0.5,1.0407208709808038,0.20852866651247978,0.21208411310842884,0.065698989613803
2526,v2,380,0.4842105263157895,1.0263896510293953,0.2057021621174431,0.20917502334895588,0.033439513349349435
2526,ml,380,0.4868421052631579,1.0470990609120008,0.209913566425455,0.21394234098130913,0.05001248797427716
2526,v3_ensemble,380,0.49473684210526314,1.0263036200562219,0.20563245632778784,0.20906857378541,0.02956298641832865
2526,bookmaker,380,0.48947368421052634,1.018547433594443,0.20383740257377933,0.20574653794193817,0.04221355725386246
2627,v1,50,0.48,1.0320340274386717,0.20757976090594327,0.20081532341013852,0.11464977975172656
2627,v2,50,0.46,1.0176130644978953,0.20348728833599034,0.19677879797821057,0.11192180934376235
2627,ml,50,0.36,1.1096737422748695,0.2236305466422313,0.21474536426345023,0.13870034747956275
2627,v3_ensemble,50,0.46,1.0248477659624395,0.20500120388475637,0.1980487434280879,0.1234851951856335
2627,bookmaker,50,0.44,1.0523292920743959,0.21142894706298068,0.20638303783778167,0.13185414053711497
